# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
drowning|noyade|o
quest|quête, longue recherche|o
pension|retraite, pension|o
grid|quadrillage, grille; réseau (électrique)|o;o
notebook|carnet, calepin; ordinateur portable|o;o
pudding|dessert|o
brace|attache, support; (braces) appareil dentaire|o;o
cooperation|coopération, collaboration|o
sailing|navigation, voile|o
virtue|vertu, honnêteté; qualité, mérite|o;o
sincere|sincère|o
whoosh|(bruit d'un objet qui file)|g
classified|classé secret, confidentiel; classé, trié|o;o
fag|clope, cigarette (britannique familier); (injurieux) pédé|o;o
pursuit|poursuite; activité, occupation|o;o
reliable|fiable, sûr|o
spectacular|spectaculaire|o
variety|variété, diversité; variété, changement|o;o
sophisticated|raffiné, distingué; sophistiqué, perfectionné|o;o
agenda|ordre du jour; intentions, objectifs cachés|o;o
elegant|élégant, raffiné|o
spice|épice|o
curve|courbe, virage; se courber, s'incurver|o;v
tribal|tribal|o
owl|hibou, chouette|o
rail|barre, rampe; rail, voie ferrée|o;o
saddle|selle|o
reader|lecteur|o
marsh|marais, marécage|o
pyramid|pyramide|o
swan|cygne|o
annual|annuel, tous les ans; annuel, d'un an|o;o
crucial|crucial, décisif|o
stew|ragoût|o
expel|expulser, chasser; renvoyer, exclure|v;v
gown|robe de soirée; blouse, robe de chambre|o;o
sofa|canapé, sofa|o
vagina|vagin|o
despair|désespoir; désespérer, perdre espoir|o;v
faggot|(injurieux) pédé, tapette|o
backyard|arrière-cour, jardin de derrière|o
whereabouts|lieu où se trouve quelqu'un; où à peu près|o;o
dolphin|dauphin|o
negotiation|négociation, pourparlers|o
literature|littérature|o
morgue|morgue|o
coconut|noix de coco|o
sexually|sexuellement|o
radical|radical, en profondeur; radical, partisan du changement|o;o
maiden|(vieilli) jeune fille, demoiselle; premier, inaugural|o;o
dwarf|nain (personne de petite taille); nain (des contes)|o;o
generator|générateur, groupe électrogène|o
welfare|bien-être, protection; aide sociale, allocations|o;o
probe|sonder, enquêter sur; sonde|v;o
behold|(vieilli) contempler, voir|v
donation|don|o
elbow|coude|o
contribute|contribuer, apporter sa part; contribuer à, concourir à|v;v
rumour|rumour, orthographe britannique de rumor|o
transplant|greffer, transplanter; repiquer, transplanter|v;v
equally|également, autant; à parts égales|v;o
flaw|défaut, imperfection|o
belonging|(belongings) affaires, effets personnels; sentiment d'appartenance|o;o
shipment|cargaison, envoi; expédition, envoi|o;o
failing|défaut, faiblesse; échec, insuffisance|o;o
courtesy|courtoisie, politesse; (courtesy of) offert par, grâce à|o;o
refugee|réfugié|o
adapt|s'adapter, adapter|v
penguin|manchot, pingouin|o
undress|se déshabiller, déshabiller|v
fisherman|pêcheur|o
quid|livre sterling (britannique familier)|o
fragile|fragile, cassant; fragile, faible|o;o
grape|raisin|o
fiction|fiction, romans|o
republican|républicain, de la république; républicain (du parti)|o;o
pastor|pasteur|o
runner|coureur|o
cub|petit (du lion, de l'ours, du renard)|o
ridge|crête, arête|o
sadly|tristement, avec tristesse; hélas, malheureusement|o;o
tab|languette, étiquette; ardoise, note (américain)|o;o
importantly|de façon importante; (more importantly) plus important encore|o;o
cooler|glacière; moins chaud|o;o
industrial|industriel|v
vibrate|vibrer|v
slim|mince, svelte; mince, faible|o;o
stray|s'égarer, errer; animal errant|v;o
shovel|pelle|o
evolution|évolution|o
notion|notion, idée vague|o
blond|blond (pour un homme)|o
injection|piqûre, injection|o
grasp|saisir, empoigner; saisir, comprendre|v;v
horny|(familier) excité|o
suitable|approprié, convenable|o
examination|examen, inspection; examen, épreuve|o;o
inaudible|(note de sous-titre) inaudible|o
son-in-law|gendre, beau-fils|o
pumpkin|citrouille, potiron|o
brag|se vanter|v
puff|bouffée, souffle; souffler, haleter|o;v
squirrel|écureuil|o
intimidate|intimider|v
harmony|harmonie (musicale); harmonie, entente|o;o
lens|lentille, objectif|o
cardinal|cardinal; cardinal, fondamental|o;o
strongly|fortement, avec force; fermement, vivement|o;o
horizon|horizon|o
container|récipient, boîte; conteneur|o;o
perimeter|périmètre|o
camel|chameau|o
yea|(vieilli) oui|o
arise|survenir, se présenter; se lever|v;v
'but|(coquille pour but) mais|o
grieve|être en deuil, avoir du chagrin|v
pea|petit pois|o
hostile|hostile|o
realm|royaume; domaine, sphère|o;o
vomit|vomir|v
cultural|culturel|v
inquiry|enquête officielle; question, demande|o;o
cheque|chèque (britannique)|o
lyric|paroles (d'une chanson); poème lyrique|o;o
rug|tapis, carpette; plaid, couverture|o;o
honorable|honorable, honnête; (titre de certains officiels)|o;g
violin|violon|o
shiny|brillant, luisant|o
phenomenon|phénomène, chose remarquable; phénomène, fait observé|o;o
briefcase|serviette, porte-documents|o
hallelujah|alléluia (louange à Dieu)|g
mint|menthe; hôtel de la Monnaie|o;o
howdy|salut (américain familier)|o
dj|DJ, disc-jockey|o
trumpet|trompette|o
wheelchair|fauteuil roulant|o
supervisor|superviseur, chef d'équipe|o
exile|exil; exilé|o;o
jeep|jeep|o
skeleton|squelette|o
dynamite|dynamite|o
stripper|strip-teaseuse|o
thigh|cuisse|o
unpleasant|désagréable, déplaisant|o
jealousy|jalousie, envie; jalousie (en amour)|o;o
barge|péniche, chaland; passer en bousculant, s'imposer|o;v
toxic|toxique|o
absorb|absorber; absorber, captiver|v;v
sadness|tristesse|o
needn|(dans needn't) n'a pas besoin de|o
cult|secte; culte, adulé par quelques-uns|o;o
tactic|tactique|o
tray|plateau|o
sensible|sensé, raisonnable; pratique, fonctionnel|o;o
atom|atome|o
distraction|distraction, ce qui détourne l'attention; distraction, divertissement|o;o
graduation|remise des diplômes, fin d'études|o
villager|villageois|o
documentary|documentaire|o
liking|goût, penchant|o
stadium|stade|o
regardless|malgré tout, quand même; (regardless of) sans tenir compte de|o;o
organic|bio, sans produits chimiques; organique, du vivant|o;o
poisoning|empoisonnement, intoxication|o
cartoon|dessin animé; dessin humoristique|o;o
software|logiciel, logiciels|o
awhile|un moment, un instant|o
psych|(psych out) déstabiliser, intimider; psycho, psychologie (familier)|v;o
conscious|conscient, éveillé; conscient, délibéré|o;o
deliberately|délibérément, exprès; posément, avec application|o;o
clone|clone; copie conforme|o;o
psychological|psychologique|v
cope|s'en sortir, faire face|v
grandchild|petit-enfant|o
follower|adepte, partisan|o
untie|dénouer, détacher|v
buster|(en s'adressant rudement à un homme) mon gars|o
globe|le globe, la Terre; globe terrestre, mappemonde|o;o
sayin|en train de dire (orthographe familière de saying)|o
werewolf|loup-garou|o
rehab|désintoxication, cure|o
grown-up|adulte, grande personne|o
tidy|rangé, ordonné; ranger, mettre de l'ordre dans|o;v
tow|remorquer, tracter|v
mainly|principalement, surtout|o
biological|biologique, du vivant|v
submarine|sous-marin|o
precinct|circonscription de police (américain); zone piétonne|o;o
fugitive|fugitif, fuyard|o
swiss|suisse|o
congressman|membre du Congrès (États-Unis)|o
boxer|boxeur|o
marble|marbre; bille|o;o
brand-new|tout neuf, flambant neuf|o
duel|duel|o
millionaire|millionnaire|o
hollow|creux; creux, sonnant faux|o;o
keeper|gardien|o
conceal|dissimuler, cacher|v
spying|espionnage|o
disable|rendre invalide, handicaper; désactiver, mettre hors service|v;v
parliament|parlement|o
elite|l'élite; d'élite|o;o
neglect|négliger, délaisser; négligence, abandon|v;o
obstacle|obstacle|o
salmon|saumon|o
bizarre|bizarre, insolite|o
i-i-i|(bégayé et traîné) je|f1s
concentration|concentration, attention; concentration (d'une substance)|o;o
confidential|confidentiel|o
initiate|lancer, amorcer; initier, admettre|v;v
hunch|intuition, pressentiment; voûter, rentrer les épaules|o;v
integrity|intégrité, honnêteté; intégrité, état intact|o;o
despise|mépriser, dédaigner|v
senate|sénat|o
mentally|mentalement|o
beautifully|magnifiquement, joliment; à merveille, très bien|o;o
lawsuit|procès, action en justice|o
razor|rasoir|o
altogether|complètement, tout à fait; en tout, au total; dans l'ensemble, somme toute|o;o;o
canyon|canyon, gorge|o
betting|paris|o
blend|mélanger, marier; mélange, assemblage|v;o
fierce|féroce, violent; féroce, acharné|o;o
intent|intention, dessein; résolu à, déterminé à|o;o
inspection|inspection, contrôle|o
relevant|pertinent, en rapport|o
mafia|mafia|o
intact|intact|o
kiddo|(en s'adressant à un jeune) gamin, petit|o
occasionally|de temps en temps, à l'occasion|o
vent|bouche d'aération, conduit; exprimer, laisser éclater|o;v
identical|identique|o
mattress|matelas|o
scholar|érudit, savant; boursier|o;o
tenant|locataire|o
classical|classique, de l'Antiquité; classique (musique)|o;o
consistent|constant, régulier; cohérent, logique|o;o
harass|harceler|v
consideration|réflexion, examen; égards, considération|o;o
stove|cuisinière, poêle|o
fitting|approprié, de circonstance; essayage|o;o
legitimate|légitime, légal; légitime, fondé|o;o
obsession|obsession|o
warp|gauchir, déformer; fausser, pervertir|v;v
ciao|(italien) salut, ciao|o
coroner|médecin légiste, coroner|o
peep|jeter un coup d'oeil, épier; petit cri aigu|v;o
jade|jade|o
orchestra|orchestre|o
moonlight|clair de lune|o
comet|comète|o
granddaughter|petite-fille|o
lira|lire (ancienne monnaie italienne); livre turque|o;o
gaze|contempler, fixer du regard|v
digital|numérique, à affichage chiffré; numérique|o;o
attic|grenier, mansarde|o
jr|Jr., fils, junior|o
lizard|lézard|o
mule|mulet, mule|o
shaft|puits, conduit; manche, hampe; arbre, axe|o;o;o
sentimental|tendre, sentimental; sentimental, fleur bleue|o;o
grudge|rancune, ressentiment|o
import|importer; importation, produit importé|v;o
kilometer|kilomètre|o
feds|(familier) les fédéraux, agents fédéraux américains|o
bash|cogner, frapper fort; fête, teuf (familier)|v;o
whisky|whisky (orthographe britannique)|o
pier|jetée, embarcadère|o
extract|extraire, retirer; extrait, passage|v;o
orphanage|orphelinat|o
aunty|tata, tantine (familier)|o
photography|photographie (art)|o
inappropriate|inapproprié, déplacé|o
vengeance|vengeance|o
clang|(bruit métallique retentissant)|g
acquaintance|connaissance, relation; connaissance, notions|o;o
junkie|junkie, toxico (familier)|o
tutor|professeur particulier, tuteur|o
lifestyle|mode de vie, style de vie|o
'it|(coquille pour it) il, elle, cela|f3s
manufacture|fabriquer, produire|v
sinner|pécheur|o
cracker|cracker, biscuit salé; papillote, cracker de Noël|o;o
interior|intérieur; intérieur des terres|o;o
physician|médecin|o
chapel|chapelle|o
desperately|désespérément; terriblement, atrocement|o;o
riddle|devinette, énigme|o
nazis|les nazis|o
hose|tuyau d'arrosage|o
fragment|fragment, morceau|o
prop|support, étai; accessoire (de théâtre)|o;o
sneeze|éternuer|v
scoop|pelle, cuillère à glace; scoop, exclusivité|o;o
massacre|massacre|o
delightful|charmant, délicieux|o
intellectual|intellectuel, de l'esprit; intellectuel (personne)|o;o
ruler|dirigeant, souverain; règle (pour mesurer)|o;o
regain|retrouver, recouvrer|v
acre|acre (environ 4 000 mètres carrés)|o
peek|jeter un coup d'oeil|v
poop|(familier) caca; épuiser, crever|o;v
assembly|assemblée, rassemblement; assemblage, montage|o;o
emotionally|émotionnellement, avec émotion|o
ounce|once (28 grammes)|o
automatic|automatique; automatique, machinal|o;o
kidnapper|ravisseur, kidnappeur|o
unnecessary|inutile, superflu|o
authorize|autoriser|v
organise|organise, orthographe britannique de organize|o
easter|Pâques|o
hurricane|ouragan|o
visible|visible|o
ignorant|ignorant, inculte; ignorant, qui ne sait pas|o;o
rum|rhum|o
salvation|salut (de l'âme); salut, planche de salut|o;o
disco|discothèque, boîte|o
maintenance|entretien, maintenance; pension alimentaire|o;o
instruct|instruire, enseigner à; ordonner à, donner pour consigne|v;v
tobacco|tabac|o
underwater|sous-marin, sous l'eau|o
retrieve|récupérer, retrouver; rapporter, aller chercher|v;v
yoga|yoga|o
make-up|make-up, autre orthographe de makeup|o
modest|modeste, sans prétention; modeste, modique; pudique, décent|o;o;o
canadian|canadien|o
essentially|essentiellement, au fond|o
ofthe|(coquille pour "of the") du, de la|o
berry|baie|o
verse|vers, poésie; couplet, strophe|o;o
joker|blagueur, farceur; joker (carte)|o;o
subtle|subtil, à peine perceptible; subtil, habile|o;o
transmit|émettre, transmettre; transmettre, communiquer|v;v
handful|poignée; poignée, petit nombre; personne difficile, vraie peste|o;o;o
pinky|petit doigt, auriculaire (américain)|o
lounge|salon, séjour; paresser, traîner|o;v
roller|rouleau; lame, grosse vague|o;o
caption|légende|o
hen|poule|o
reflection|reflet, image; réflexion, méditation|o;o
gram|gramme|o
unto|(vieilli) à, vers|o
impose|imposer; abuser, s'imposer|v;v
superintendent|commissaire (de police); concierge, gardien|o;o
dagger|poignard, dague|o
ol|vieux (orthographe familière de old)|o
practise|practise, orthographe britannique du verbe practice|o
intercept|intercepter|v
racket|vacarme, boucan; racket, combine; raquette|o;o;o
corruption|corruption|o
kitten|chaton|o
burial|enterrement, inhumation|o
forensics|police scientifique, expertise médico-légale|o
refresh|rafraîchir, revigorer; actualiser, mettre à jour|v;v
outcome|résultat, issue|o
verify|vérifier|v
dove|colombe|o
carrier|transporteur, porteur; porte-avions|o;o
postpone|reporter, remettre|v
voyage|voyage (en mer ou dans l'espace)|o
crunch|(craquement, bruit d'écrasement)|g
housing|logement, logements|o
ambitious|ambitieux; ambitieux, audacieux|o;o
rapid|rapide|o
guidance|conseils, orientation|o
hence|d'où, par conséquent; d'ici, à partir de maintenant|o;o
scramble|grimper, escalader à quatre pattes; se disputer, se ruer sur|v;v
inevitable|inévitable, inéluctable|o
bandage|bandage, pansement|o
yacht|yacht, voilier|o
dominate|dominer, contrôler; dominer, surplomber|v;v
irritate|agacer, irriter; irriter, enflammer|v;v
breakdown|panne, effondrement; ventilation, détail|o;o
tablet|comprimé, cachet; tablette (ordinateur)|o;o
deadline|date limite, échéance|o
skate|patin|o
shred|lambeau, brin; déchiqueter, râper|o;v
phantom|fantôme, spectre; illusion, chimère|o;o
impulse|impulsion, envie soudaine; impulsion, poussée|o;o
defy|défier, refuser d'obéir à; défier, braver|v;v
distribute|distribuer, répartir; répandre, disséminer|v;v
regiment|régiment|o
restrain|retenir, maîtriser|v
sewer|égout|o
province|province|o
jelly|gelée; gelée de fruits|o;o
critic|critique (de livres, de films); détracteur, personne qui critique|o;o
satisfaction|satisfaction|o
historical|historique, de l'histoire; historique, ayant réellement existé|v;o
altar|autel|o
swedish|suédois, de Suède; le suédois (la langue)|o;o
cane|canne, tige; canne, badine|o;o
uncover|découvrir, ôter le couvercle de; découvrir, mettre au jour|v;v
disappointment|déception|o
sour|acide, aigre; aigri, revêche|o;o
vague|vague, imprécis|o
freely|librement, sans entrave; ouvertement, franchement|o;o
achievement|réussite, exploit|o
supermarket|supermarché|o
hoo|(cri d'excitation)|g
raven|corbeau|o
protective|protecteur, qui protège; protecteur, possessif|o;o
hound|chien de meute; traquer, harceler|o;v
airline|compagnie aérienne|o
sensation|sensation, impression physique; sensation, grand émoi|o;o
suspenseful|(note de sous-titre) musique de suspense|o
trainer|entraîneur, formateur; basket, chaussure de sport|o;o
pint|pinte (environ un demi-litre)|o
pasta|pâtes|o
delta|delta|o
whoo-hoo|(cri d'excitation)|g
clink|(tintement de verre ou de métal)|g
itch|démanger, gratter|v
instantly|instantanément, aussitôt|o
strand|brin, mèche; laisser en plan, abandonner|o;v
doo|(syllabe chantée)|g
stroll|se promener, flâner|v
interrogate|interroger, soumettre à un interrogatoire|v
offence|offence, orthographe britannique de offense|o
sharply|brusquement, fortement; sèchement, vertement|o;o
meds|médicaments (familier)|o
superhero|super-héros|o
magnetic|magnétique, aimanté; magnétique, très attirant|o;o
tackle|s'attaquer à, affronter; plaquer, tacler; matériel, équipement|v;v;o
survey|inspecter, examiner; sondage, enquête|v;o
elf|elfe, lutin|o
disappearance|disparition|o
essence|essence, fond|o
outstanding|remarquable, exceptionnel; en souffrance, impayé|o;o
wardrobe|armoire, penderie; garde-robe|o;o
lump|morceau, bloc; bosse, grosseur|o;o
squawk|(cri rauque d'oiseau)|g
starter|entrée (au repas); démarreur, celui qui donne le départ|o;o
cupcake|cupcake, petit gâteau|o
grease|graisse|o
attraction|attirance, séduction; attraction, curiosité|o;o
thankful|reconnaissant, heureux|o
trespass|s'introduire sans autorisation, violer une propriété|v
