# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
preview|presentación o vistazo anticipado, avance|o
skeptical|dudoso, difícil de convencer, escéptico|o
succumb|ceder, rendirse; morir (de una enfermedad)|v;v
unilaterally|por una sola parte, sin acuerdo de las demás|o
anime|películas y series animadas japonesas|o
hamper|obstaculizar, dificultar|v
inaction|falta de acción, inacción|o
inaugural|primero, que marca el comienzo de algo, inaugural|o
spillover|efecto que se extiende a otro ámbito, efecto indirecto|o
adequately|suficientemente, lo bastante bien|o
contributor|persona que aporta o ayuda; colaborador de una publicación|o;o
critique|análisis crítico detallado, crítica|o
differential|diferencia entre cantidades; que muestra una diferencia, diferencial|o;o
famine|falta extrema de alimentos en una región, hambruna|o
radically|fundamentalmente, por completo|o
censorship|supresión de expresiones, libros o películas, censura|o
exponential|que crece cada vez más rápido; que implica un exponente|o;o
intensity|fuerza, intensidad|o
interim|provisional, interino, mientras tanto|o
rationale|razones detrás de una decisión, fundamento|o
stagnant|que no corre, estancado; que no crece ni se desarrolla|o;o
consort|cónyuge de un monarca, consorte; relacionarse con|o;v
demonstrator|manifestante; persona que muestra cómo funciona algo|o;o
materialize|ocurrir, hacerse realidad; aparecer|v;v
myriad|innumerable, muchísimos|o
notwithstanding|a pesar de, pese a|o
paragraph|sección de un texto que empieza en una línea nueva, párrafo|o
undies|ropa interior, calzones (informal)|o
anemic|débil, sin energía; con falta de glóbulos rojos, anémico|o;o
deficiency|falta, carencia, deficiencia|o
repeal|derogar oficialmente una ley|v
undercut|cobrar menos que un competidor; socavar, debilitar|v;v
activism|campaña por un cambio político o social, activismo|o
autocratic|que gobierna con poder absoluto, autocrático|o
fusion|unión, fusión; reacción nuclear que une átomos|o;o
imminent|a punto de ocurrir, inminente|o
storytelling|narración de historias|o
aggressively|con fuerza, de forma hostil, agresivamente|o
bacterial|causado por bacterias o relativo a ellas, bacteriano|o
disclosure|divulgación de información, revelación|o
domestically|dentro del propio país; en casa|o;o
supplement|añadido, complemento, suplemento; complementar|o;v
tributary|río que desemboca en otro más grande, afluente|o
amplifier|aparato que aumenta el volumen del sonido, amplificador|o
centrist|de ideas políticas moderadas, centrista|o
commandment|norma divina, ley (como en los Diez Mandamientos), mandamiento|o
cuisine|estilo de cocina, gastronomía|o
decisively|con firmeza, de forma concluyente|o
duet|pieza para dos intérpretes, dúo|o
enshrine|consagrar formalmente (en una ley o una constitución)|v
erect|construir, levantar; erguido|v;o
fragmentation|división en pedazos, fragmentación|o
nationwide|en todo el país, a nivel nacional|o
newcomer|persona recién llegada|o
promotional|destinado a hacer publicidad, promocional|o
refrain|abstenerse de hacer algo; estribillo de una canción|v;o
remittance|dinero enviado a alguien, sobre todo al país de origen desde el extranjero, remesa|o
screening|proyección de una película; prueba médica de detección de enfermedades|o;o
scripture|escritos sagrados de una religión, escrituras|o
genetically|genéticamente, en cuanto a los genes|o
subscribe|pagar periódicamente por un servicio, suscribirse; estar de acuerdo con (una idea)|v;v
anatomy|estructura del cuerpo; estudio de la estructura del cuerpo, anatomía|o;o
clause|parte de un documento legal, cláusula; grupo de palabras con un verbo, oración|o;o
deforestation|tala de bosques, deforestación|o
depiction|representación, retrato|o
imagery|imágenes o lenguaje descriptivo|o
mire|pantano, lodo; situación difícil, atolladero|o;o
navigation|orientación, navegación, pilotaje|o
petroleum|petróleo crudo|o
reconnaissance|observación militar para obtener información, reconocimiento|o
arbitrary|al azar, no basado en la razón, arbitrario|o
exploitation|uso injusto para obtener ganancias, explotación; aprovechamiento de recursos|o;o
geography|estudio de la superficie terrestre y los lugares, geografía|o
halve|partir en dos, reducir a la mitad|v
malnutrition|mala salud causada por falta de alimento, desnutrición|o
ballad|canción romántica lenta; poema que narra una historia, balada|o;o
boycott|negativa a comprar o participar como protesta, boicot|o
cultivate|cultivar la tierra; desarrollar (una habilidad, una relación)|v;v
degrade|degradar, bajar la calidad de; humillar|v;v
exponent|defensor de una idea, exponente; potencia a la que se eleva un número, exponente|o;o
independently|por separado, sin ayuda, de forma independiente|o
insurgency|rebelión armada, insurgencia|o
intuitive|fácil de entender; basado en el instinto, intuitivo|o;o
irrational|ilógico, poco razonable, irracional|o
maturity|edad adulta, pleno desarrollo, madurez; fecha en que debe pagarse un préstamo, vencimiento|o;o
offshore|en el mar lejos de la costa; radicado en el extranjero (del dinero)|o;o
personalize|adaptar a una persona, personalizar|v
separatist|persona que busca la independencia de una región, separatista|o
stereotype|imagen fija y simplificada de un grupo, estereotipo|o
advertisement|anuncio que promociona un producto|o
attain|lograr, alcanzar|v
dissolution|fin oficial de una organización o un matrimonio, disolución; acción de disolverse|o;o
ecological|relativo al medio ambiente y los seres vivos, ecológico|o
inaugurate|iniciar formalmente, inaugurar; investir en un cargo con una ceremonia|v;v
inherent|incorporado, propio de algo por naturaleza, inherente|o
meme|idea o chiste que se difunde en internet, a menudo una imagen|o
migrate|trasladarse a otra región o país, migrar|v
northwestern|del noroeste o en el noroeste|o
precision|exactitud, precisión|o
profoundly|profundamente, enormemente|o
pundit|experto que opina en los medios, comentarista|o
skeptic|persona que duda de las ideas aceptadas, escéptico|o
visualize|imaginar, representar en la mente; mostrar como imagen|v;v
wane|disminuir, debilitarse, menguar|v
weld|soldar piezas de metal con calor|v
outweigh|ser mayor o más importante que|v
peril|peligro grave|o
polarize|dividir en dos grupos opuestos, polarizar|v
configuration|disposición, configuración|o
deportation|expulsión forzosa de un país, deportación|o
empirical|basado en la observación o el experimento, empírico|o
listing|lista, entrada de una lista|o
usher|guiar, acompañar a alguien; dar paso a (una nueva era)|v;v
benign|inofensivo, amable; no canceroso, benigno|o;o
bipartisan|apoyado por ambos partidos políticos, bipartidista|o
daunt|desanimar, intimidar|v
environmentally|en relación con el medio ambiente, ambientalmente|o
foresee|predecir, prever|v
geometry|matemáticas de las figuras, líneas y ángulos, geometría|o
mitigation|reducción del daño o la gravedad de algo, mitigación|o
paralysis|incapacidad de moverse, parálisis; incapacidad de actuar|o;o
perpetrator|persona que comete un delito, autor|o
processor|parte de la computadora que ejecuta las instrucciones, procesador|o
summarize|dar los puntos principales en breve, resumir|v
traumatic|profundamente impactante y angustiante, traumático|o
withstand|resistir, soportar|v
accordance|conformidad (en accordance with: de acuerdo con, conforme a)|o
alleviate|aliviar, mitigar (un dolor, un problema)|v
articulate|capaz de expresarse con claridad, elocuente; expresar con claridad|o;v
bracket|símbolo como ( ) o [ ]; grupo o rango (tramo de ingresos)|o;o
delegate|representante enviado a una reunión, delegado; encargar una tarea a otra persona, delegar|o;v
duration|tiempo que dura algo, duración|o
intersection|lugar donde se cruzan las calles, cruce; punto donde se unen las líneas, intersección|o;o
jointly|juntos, de forma compartida, conjuntamente|o
plight|situación difícil o peligrosa, apuro|o
privatize|vender una empresa estatal a propietarios privados, privatizar|v
template|modelo o patrón para copiar, plantilla|o
wary|cauteloso, desconfiado|o
amplify|hacer más fuerte o intenso, amplificar|v
angular|de esquinas marcadas, anguloso; relativo a los ángulos, angular|o;o
catalogue|lista completa de artículos, catálogo|o
consultation|reunión para pedir consejo, consulta; discusión previa a una decisión|o;o
counterproductive|que produce el efecto contrario al deseado, contraproducente|o
detection|descubrimiento, detección|o
inventor|persona que inventa|o
lecturer|profesor universitario|o
normalization|vuelta a la normalidad; estandarización|o;o
reluctance|falta de disposición, renuencia|o
reproductive|relativo a la reproducción|o
rigid|tieso, que no se dobla; estricto, inflexible|o;o
specification|descripción detallada de los requisitos, especificación|o
stagger|tambalearse al caminar; asombrar, dejar atónito; escalonar en distintos horarios|v;v;v
subordinate|de rango inferior; persona bajo la autoridad de otra, subordinado|o;o
successive|uno tras otro, sucesivo|o
vaccination|aplicación de una vacuna, vacunación|o
aka|también conocido como, alias|o
ancestry|origen familiar, antepasados, ascendencia|o
antiquity|la Antigüedad; objeto antiguo, antigüedad|o;o
distinctive|característico, fácil de reconocer|o
documentation|papeles oficiales; instrucciones escritas, documentación|o;o
insider|persona de dentro de una organización con información privilegiada|o
monarchy|gobierno de un rey o una reina, monarquía|o
reshape|cambiar la forma o estructura de, remodelar|v
astronomy|estudio de las estrellas y los planetas, astronomía|o
byte|unidad de datos informáticos (ocho bits)|o
commercially|en términos de negocio o ventas, comercialmente|o
midwife|persona capacitada para asistir partos, partera|o
abundant|que existe en gran cantidad, abundante|o
analogy|comparación que muestra una semejanza, analogía|o
coincide|ocurrir al mismo tiempo, coincidir; estar de acuerdo|v;v
divergence|separación, diferencia, divergencia|o
ninety|90, noventa|o
potent|poderoso, fuerte, potente|o
purge|eliminar a personas o cosas no deseadas, purgar; purga|v;o
readily|de buena gana; fácilmente|o;o
sampling|toma de muestras, muestreo; selección para pruebas|o;o
scarcity|escasez|o
skyscraper|edificio muy alto, rascacielos|o
vibrant|animado, lleno de energía; vivo (color)|o;o
abide|aguantar, tolerar (can't abide); acatar, cumplir (abide by)|v;v
assurance|promesa, garantía; confianza, seguridad|o;o
disproportionate|demasiado grande o pequeño en comparación, desproporcionado|o
interdependence|dependencia mutua, interdependencia|o
technocrat|experto que gobierna o dirige, tecnócrata|o
collaborator|compañero de trabajo, colaborador; persona que ayuda al enemigo, colaboracionista|o;o
constituent|votante de un distrito, elector; componente, parte|o;o
deliberate|intencional, planeado; reflexionar, deliberar|o;v
indirect|no directo, indirecto|o
planting|plantación, siembra|o
setback|problema que retrasa el avance, revés|o
unravel|deshacer, desenredar; resolver, desentrañar; desmoronarse|v;v;v
complacency|autocomplacencia, despreocupación satisfecha|o
differentiate|distinguir, diferenciar|v
enrichment|mejora; aumento del valor o la concentración, enriquecimiento|o;o
lobbying|intento de influir en los políticos, cabildeo|o
marketplace|mercado; el mundo comercial|o;o
perpetuate|continuar, prolongar, perpetuar|v
pinyin|sistema para escribir el chino en alfabeto latino|o
socioeconomic|relativo a factores sociales y económicos, socioeconómico|o
tracer|sustancia usada para seguir un proceso, trazador; bala que deja una estela visible, trazadora|o;o
inflate|inflar con aire; subir (los precios)|v;v
simplicity|cualidad de sencillo, sencillez|o
surname|nombre de familia, apellido|o
accolade|premio, elogio, distinción|o
directorial|relativo a un director de cine|o
mega|enorme, muy grande|o
peripheral|en el borde, periférico; secundario; dispositivo de computadora (teclado, impresora)|o;o;o
prestigious|respetado, admirado, prestigioso|o
prosper|prosperar, tener éxito|v
schooling|educación, escolaridad|o
theatrically|de forma dramática y exagerada, teatralmente; en los cines|o;o
timeline|secuencia de hechos, cronología; calendario, plazos|o;o
unsuccessful|fallido, sin éxito|o
indie|independiente (música, cine, videojuegos)|o
meta|autorreferencial, que habla de sí mismo|o
microbial|relativo a los microbios, microbiano|o
morally|en cuanto al bien y el mal, moralmente|o
quadratic|con una variable al cuadrado (en matemáticas), cuadrático|o
unintended|no intencionado, accidental|o
entrepreneurial|relativo a la creación de empresas, emprendedor|o
factorial|producto de todos los números enteros hasta uno dado (5! = 120), factorial|o
hemisphere|mitad de la Tierra; mitad del cerebro, hemisferio|o;o
indefinitely|por tiempo ilimitado, indefinidamente|o
lunar|relativo a la luna|o
mandatory|requerido, obligatorio|o
memorandum|nota escrita, registro; acuerdo formal|o;o
northeastern|del noreste o en el noreste|o
prioritize|tratar como lo más importante, priorizar|v
regression|vuelta a un estado anterior, regresión; método estadístico|o;o
todo|tarea pendiente (como en todo list)|o
understandably|comprensiblemente, como es lógico|o
blender|aparato de cocina para mezclar, licuadora|o
diversification|variedad, reparto del riesgo, diversificación|o
