# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
pandemic|pandemi, wabah yang menyebar ke banyak negara|o
populist|populis, menarik rakyat biasa melawan kaum elite|o
vector|vektor, besaran yang punya nilai dan arah; pembawa penyakit|o;o
incentive|insentif, pendorong, motivasi|o
probability|probabilitas, kemungkinan|o
variable|variabel, besaran yang dapat berubah|o
contrast|perbedaan yang jelas, kontras|o
framework|kerangka, susunan dasar atau rangkaian gagasan|o
reduction|pengurangan, penurunan|o
financing|pembiayaan, pendanaan|o
surplus|surplus, kelebihan, sisa|o
coalition|koalisi, persekutuan, terutama partai politik|o
technological|teknologis, berkaitan dengan teknologi|o
similarly|demikian pula, dengan cara yang sama|o
tariff|tarif, bea atas barang impor atau ekspor|o
nomination|pencalonan, nominasi untuk jabatan atau penghargaan|o
stimulus|stimulus, pendorong kegiatan, terutama belanja pemerintah untuk menggerakkan ekonomi|o
prosperity|kemakmuran, kesejahteraan|o
portray|menggambarkan, melukiskan|v
graph|grafik, diagram hubungan antarnilai|o
effectively|pada praktiknya, pada dasarnya; secara efektif, dengan berhasil|o;o
consist|terdiri (atas)|v
consensus|kesepakatan umum, konsensus|o
institutional|kelembagaan, berkaitan dengan lembaga|o
bilateral|bilateral, melibatkan dua pihak atau negara|o
expansion|perluasan, pertumbuhan|o
output|hasil, jumlah produksi|o
format|format, bentuk penyajian|o
politically|secara politik|o
premier|perdana menteri, kepala pemerintahan|o
adaptation|penyesuaian dengan keadaan baru; adaptasi, film atau drama dari sebuah buku|o;o
thereby|dengan demikian, sebagai akibatnya|o
austerity|penghematan ketat belanja pemerintah|o
subsidy|subsidi, bantuan uang dari pemerintah untuk menekan biaya|o
uncertainty|ketidakpastian, keraguan|o
equity|ekuitas, saham kepemilikan perusahaan; keadilan|o;o
publication|penerbitan; terbitan, buku atau majalah yang diterbitkan|o;o
referendum|referendum, pemungutan suara rakyat atas satu pertanyaan|o
node|simpul, titik pertemuan dalam jaringan|o
presidency|jabatan atau masa jabatan presiden|o
escalation|eskalasi, peningkatan cepat, intensifikasi|o
widely|secara luas, oleh banyak orang, di banyak tempat|o
creditor|kreditur, pihak yang memberi utang|o
multilateral|multilateral, melibatkan beberapa negara|o
composer|komponis, penggubah musik|o
symbolic|simbolis, melambangkan sesuatu|o
mid|pertengahan, tengah-tengah|o
significantly|secara signifikan, cukup besar atau berarti|o
default|gagal bayar utang; pengaturan bawaan|o;o
derivative|derivatif, produk keuangan berdasarkan nilai aset lain; turunan, laju perubahan fungsi (matematika)|o;o
regulatory|berkaitan dengan peraturan dan pengawasan resmi|o
contemporary|kontemporer, masa kini, modern; sezaman|o;o
ratio|rasio, perbandingan dua jumlah|o
pre|pra-, sebelum|o
sovereignty|kedaulatan|o
migration|migrasi, perpindahan manusia atau hewan dari satu tempat ke tempat lain|o
nationalist|nasionalis, orang yang sangat membela kepentingan atau kemerdekaan bangsanya|o
commodity|komoditas, bahan mentah atau produk yang diperdagangkan, seperti minyak atau gandum|o
provocation|provokasi, tindakan untuk memancing kemarahan atau reaksi|o
capitalism|kapitalisme, sistem ekonomi berdasarkan kepemilikan pribadi dan laba|o
compute|menghitung|v
activist|aktivis, orang yang memperjuangkan perubahan|o
electoral|berkaitan dengan pemilihan umum|o
competitiveness|daya saing|o
widespread|meluas, tersebar di banyak tempat|o
notable|patut dicatat, penting|o
constitutional|konstitusional, berkaitan dengan atau diizinkan oleh konstitusi|o
liquidity|likuiditas, ketersediaan uang tunai atau aset yang mudah dijual|o
renminbi|renminbi, mata uang Tiongkok|o
uncontrolled|tidak terkendali|o
migrant|pendatang, migran, orang yang pindah ke tempat atau negara lain|o
subsequently|kemudian, sesudah itu|o
augur|meramalkan, menjadi pertanda; augur well: menjanjikan hasil baik|v;n
comprehensive|menyeluruh, lengkap|o
reinforce|memperkuat, mendukung|v
macroeconomic|makroekonomi, berkaitan dengan ekonomi secara keseluruhan|o
thinker|pemikir, cendekiawan|o
timely|tepat waktu, pada saat yang tepat|o
efficiency|efisiensi, hasil guna tanpa banyak membuang waktu atau tenaga|o
implication|implikasi, akibat yang mungkin; hal yang tersirat|o;o
integrate|memadukan menjadi satu; membaurkan ke dalam kelompok|v;v
rural|pedesaan|o
legitimacy|legitimasi, keabsahan|o
unlimited|tak terbatas|o
commonly|biasanya, umumnya|o
genre|genre, jenis karya seni, musik, atau tulisan|o
agricultural|berkaitan dengan pertanian|o
ethnic|etnis, berkaitan dengan suku bangsa atau kelompok budaya|o
recur|terulang, terjadi lagi|v
caput|kepala (dalam per caput: per orang)|o
geopolitical|geopolitik, berkaitan dengan pengaruh geografi terhadap politik antarnegara|o
synagogue|sinagoge, rumah ibadah Yahudi|o
neuron|neuron, sel saraf|o
imbalance|ketidakseimbangan|o
authoritarian|otoriter, menuntut kepatuhan mutlak, tidak demokratis|o
nonetheless|meskipun demikian, namun|o
facilitate|memudahkan, memfasilitasi|v
typically|biasanya, pada umumnya|o
agriculture|pertanian|o
legislation|perundang-undangan, pembuatan undang-undang|o
nationalism|nasionalisme, sikap membela kepentingan atau kemerdekaan bangsa|o
feminist|feminis, pendukung hak dan kesetaraan perempuan|o
unprecedented|belum pernah terjadi sebelumnya|o
prominent|terkemuka, terkenal; menonjol|o;o
mandate|mandat, wewenang atau perintah resmi; wewenang dari pemilih|o;o
interact|berinteraksi, saling memengaruhi atau berkomunikasi|v
census|sensus, penghitungan penduduk resmi|o
certification|sertifikasi, pengesahan resmi|o
parliamentary|parlementer, berkaitan dengan parlemen|o
songwriter|penulis lagu|o
diplomacy|diplomasi, pengelolaan hubungan antarnegara; kebijaksanaan dalam bersikap|o;o
solidarity|solidaritas, kesetiakawanan|o
regulator|regulator, badan resmi pengawas suatu industri|o
renewable|terbarukan, seperti energi angin atau surya; dapat diperpanjang|o;o
primarily|terutama, pertama-tama|o
productive|produktif, menghasilkan banyak, berguna|o
emphasize|menekankan, mementingkan|v
latter|yang terakhir disebut (dari dua)|o
borrowing|peminjaman uang; pinjaman, uang yang dipinjam|o;o
rhetoric|retorika, ucapan yang membujuk atau muluk, sering tidak tulus|o
instability|ketidakstabilan, kegoyahan|o
provision|penyediaan, pemberian; ketentuan dalam undang-undang atau perjanjian|o;o
participation|partisipasi, keikutsertaan|o
electron|elektron, partikel bermuatan negatif dalam atom|o
theta|huruf Yunani θ|o
moderate|sedang, tidak ekstrem|o
historian|sejarawan, ahli sejarah|o
expenditure|pengeluaran, belanja|o
credibility|kredibilitas, keterpercayaan|o
inclusive|inklusif, mencakup semua orang; termasuk batas yang disebutkan|o;o
parameter|parameter, batas atau faktor yang menentukan suatu sistem; konstanta dalam persamaan|o;o
miniseries|miniseri, drama televisi dengan sedikit episode|o
constraint|batasan, kendala|o
deepen|memperdalam, menjadi lebih dalam|v
economically|secara ekonomi; secara hemat|o;o
humanitarian|kemanusiaan, bertujuan mengurangi penderitaan manusia|o
conventional|konvensional, lazim, tradisional; nonnuklir (senjata)|o;o
genus|genus, kelompok spesies yang berkerabat dalam biologi|o
transparency|transparansi, keterbukaan; kebeningan, tembus pandang|o;o
linear|linear, lurus; bertahap, berurutan|o;o
underlie|mendasari, menjadi penyebab dasar|v
slowdown|perlambatan kecepatan atau kegiatan|o
restriction|pembatasan, aturan yang membatasi|o
literary|sastra, berkaitan dengan kesusastraan|o
depict|menggambarkan, melukiskan dengan kata atau gambar|v
forecast|ramalan, prakiraan|o
interaction|interaksi, hubungan timbal balik|o
credible|dapat dipercaya, meyakinkan|o
consulate|konsulat, kantor perwakilan pemerintah asing di suatu kota|o
observer|pengamat, pemantau|o
index|indeks, ukuran perubahan harga atau nilai; indeks, daftar kata berabjad dalam buku|o;o
thriller|cerita menegangkan tentang kejahatan atau misteri|o
honorary|kehormatan, diberikan sebagai penghargaan tanpa tugas biasa|o
respectively|masing-masing, sesuai urutan yang disebut|o
constituency|daerah pemilihan; para pemilih di daerah itu|o;o
restructuring|restrukturisasi, penataan ulang, terutama perusahaan atau utang|o
incorporate|memasukkan, menggabungkan sebagai bagian|v
narrative|narasi, cerita, kisah peristiwa|o
domain|bidang kegiatan atau ilmu; wilayah kekuasaan|o;o
spur|mendorong, memacu|v
axis|sumbu putar; sumbu acuan pada grafik; poros, persekutuan|o;o;o
malaria|malaria, penyakit yang ditularkan nyamuk|o
diversity|keberagaman, keanekaragaman|o
twentieth|ke-20, kedua puluh|o
creativity|kreativitas, daya cipta|o
bias|bias, keberpihakan yang tidak adil|o
formerly|dahulu, sebelumnya|o
acclaim|pujian, terutama dari kritikus|o
innovative|inovatif, baru dan orisinal|o
ideology|ideologi, sistem keyakinan, terutama politik|o
sustainability|keberlanjutan, kemampuan bertahan lama tanpa merusak lingkungan|o
bailout|dana talangan, penyelamatan keuangan perusahaan atau negara|o
diminish|mengurangi, berkurang|v
shareholder|pemegang saham|o
premiere|pemutaran perdana, pertunjukan pertama|o
robust|kuat, kokoh|o
mobilize|mengerahkan, memobilisasi|v
equality|kesetaraan, persamaan, terutama dalam hak|o
genome|genom, seluruh materi genetik suatu organisme|o
velocity|kecepatan ke arah tertentu|o
liberalization|liberalisasi, penghapusan pembatasan, terutama perdagangan|o
populism|populisme, politik yang mengaku mewakili rakyat biasa melawan kaum elite|o
sitcom|komedi situasi di televisi|o
subsequent|berikutnya, kemudian|o
dramatically|secara drastis, tiba-tiba dan besar; secara teatrikal|o;o
aggregate|agregat, total, gabungan|o
counterpart|mitra, padanan, pihak dengan peran yang sama di tempat lain|o
globally|secara global, di seluruh dunia|o
collaboration|kolaborasi, kerja sama|o
outbreak|pecahnya penyakit atau kekerasan secara tiba-tiba, wabah|o
secular|sekuler, tidak berkaitan dengan agama|o
soundtrack|musik film|o
exacerbate|memperburuk|v
costly|mahal|o
offset|mengimbangi, menutupi|v
derive|memperoleh dari suatu sumber; berasal dari|v;v
enforce|menegakkan hukum atau aturan|v
regulate|mengatur dengan peraturan|v
ideological|ideologis, berkaitan dengan ideologi|o
comprise|terdiri atas, meliputi|v
vertex|titik sudut, titik pertemuan garis|o
educational|berkaitan dengan pendidikan|o
indicator|indikator, tanda atau ukuran suatu keadaan|o
northeast|timur laut|o
mitigate|meringankan, mengurangi dampak|v
rename|mengganti nama|v
greenhouse|rumah kaca untuk menanam tumbuhan; rumah kaca (gas), memerangkap panas di atmosfer|o;o
annually|setiap tahun|o
progressive|progresif, mendukung pembaruan sosial; bertahap|o;o
willingness|kesediaan, kemauan|o
adviser|penasihat|o
nominee|calon, nominasi untuk jabatan atau penghargaan|o
pollution|polusi, pencemaran udara, air, atau tanah|o
territorial|teritorial, berkaitan dengan wilayah|o
extremist|ekstremis, orang berpandangan politik atau agama yang ekstrem|o
quantitative|kuantitatif, diukur dengan angka|o
imperative|sangat penting, mendesak|o
stance|sikap, pendirian terhadap suatu isu|o
feat|prestasi yang membutuhkan keterampilan atau kekuatan|o
vis|(dalam vis-à-vis) berkaitan dengan, dibandingkan dengan|o
sine|sinus, fungsi trigonometri, perbandingan sisi depan dengan sisi miring|o
taxpayer|wajib pajak, pembayar pajak|o
administrative|administratif, berkaitan dengan pengelolaan organisasi atau pemerintahan|o
ecosystem|ekosistem, komunitas makhluk hidup beserta lingkungannya|o
quo|(dalam status quo) keadaan yang ada sekarang|o
coordination|koordinasi, pengaturan agar orang atau bagian bekerja sama|o
inevitably|mau tidak mau, pasti|o
accountability|akuntabilitas, tanggung jawab atas tindakan sendiri|o
proliferation|proliferasi, penyebaran atau pertambahan cepat, terutama senjata|o
dictatorship|kediktatoran, pemerintahan oleh diktator|o
constitute|membentuk, menyusun; merupakan, sama dengan|v;v
deflation|deflasi, penurunan harga secara umum|o
disruption|gangguan, kekacauan|o
implementation|pelaksanaan, penerapan rencana atau keputusan|o
adequate|memadai, cukup|o
communism|komunisme, sistem yang harta bendanya dimiliki masyarakat atau negara|o
correspond|sesuai, sepadan; berkirim surat|v;v
shortage|kekurangan, kelangkaan|o
northwest|barat laut|o
sequel|sekuel, buku atau film lanjutan cerita sebelumnya|o
evaluate|menilai, mengevaluasi|v
situate|menempatkan dalam lokasi atau konteks tertentu|v
unsustainable|tidak berkelanjutan, tidak dapat bertahan lama|o
inadequate|tidak memadai, kurang|o
predecessor|pendahulu, pemegang jabatan sebelumnya|o
systemic|sistemik, memengaruhi seluruh sistem|o
attribute|menganggap sebagai penyebab atau milik|v
viable|layak, dapat berhasil|o
nautical|bahari, berkaitan dengan kapal atau pelayaran|o
bloc|blok, kelompok negara atau partai yang bertindak bersama|o
intensive|intensif, terpusat, menyeluruh|o
entrepreneur|wirausahawan, pengusaha|o
emergence|kemunculan, kelahiran|o
animate|menghidupkan; membuat film animasi|v;v
furthermore|selain itu, lagi pula|o
nominal|hanya nama, tidak sungguhan; nominal, belum disesuaikan dengan inflasi|o;o
participant|peserta|o
segment|bagian, segmen|o
southwest|barat daya|o
displace|mengusir dari tempat atau rumah; menggantikan|v;v
downturn|kemerosotan kegiatan ekonomi|o
inflow|arus masuk uang atau orang|o
designate|menunjuk, menetapkan secara resmi|v
stagnation|stagnasi, kemandekan|o
cosine|kosinus, fungsi trigonometri, perbandingan sisi samping dengan sisi miring|o
intensify|mengintensifkan, menguat|v
tourism|pariwisata|o
induce|menyebabkan, menimbulkan; membujuk|v;v
confrontation|konfrontasi, pertentangan|o
remix|remiks, versi baru sebuah rekaman|o
ownership|kepemilikan|o
microbe|mikroba, jasad renik, terutama kuman|o
dominant|dominan, paling berkuasa atau berpengaruh|o
enact|mengesahkan menjadi undang-undang; memerankan|v;v
monopoly|monopoli, penguasaan penuh pasar oleh satu pemasok|o
complexity|kerumitan, kompleksitas|o
notably|terutama; secara mencolok|o;o
undertake|menjalankan, memulai tugas|v
ranking|peringkat|o
nineteenth|ke-19, kesembilan belas|o
orient|mengarahkan; menentukan arah, mengenali keadaan|v;v
volatility|volatilitas, gejolak, ketidakstabilan|o
developer|pengembang properti atau perangkat lunak|o
characterize|mencirikan, menggambarkan sifat; menjadi ciri khas|v;v
substantially|secara substansial, cukup besar|o
safeguard|melindungi, menjaga|v
empower|memberdayakan|v
crore|sepuluh juta (di India dan Asia Selatan)|o
constrain|membatasi, mengekang|v
impede|menghambat, merintangi|v
multi|multi-, banyak|o
subtract|mengurangi, mengurangkan bilangan|v
demographic|demografis, berkaitan dengan penduduk; kelompok penduduk|o;o
earnings|penghasilan; laba perusahaan|o;o
undoubtedly|tidak diragukan lagi, pasti|o
vulnerability|kerentanan, kelemahan|o
bankruptcy|kebangkrutan, pailit|o
effectiveness|efektivitas, keampuhan|o
originate|berasal, bermula|v
broadly|secara umum; secara luas|o;o
lender|pemberi pinjaman|o
mainstream|arus utama|o
protectionism|proteksionisme, perlindungan industri dalam negeri dengan tarif impor|o
underpin|menopang, mendasari|v
clinical|klinis, berkaitan dengan perawatan pasien; dingin, tanpa perasaan|o;o
congressional|berkaitan dengan kongres, terutama Kongres AS|o
recipient|penerima|o
uncertain|tidak yakin; tidak pasti|o;o
fundamentally|pada dasarnya, secara mendasar|o
entail|melibatkan, memerlukan|v
allocate|mengalokasikan, membagikan|v
entity|entitas, badan yang berdiri sendiri seperti organisasi|o
semi|semi-, setengah, sebagian|o
resilience|ketahanan, daya pulih|o
cyber|siber, berkaitan dengan komputer dan internet|o
decisive|menentukan; tegas, cepat mengambil keputusan|o;o
assert|menegaskan; menuntut (hak)|v;v
widen|melebarkan, melebar|v
flexible|lentur; luwes, mudah menyesuaikan diri|o;o
transgender|transgender, memiliki identitas gender yang berbeda dari jenis kelamin saat lahir|o
representation|perwakilan; penggambaran|o;o
diverse|beragam, bermacam-macam|o
erode|mengikis, terkikis sedikit demi sedikit|v
historically|pada masa lalu; secara historis|o;o
worsen|memperburuk, memburuk|v
variant|varian, bentuk atau versi lain|o
mobility|mobilitas, kemampuan bergerak; mobilitas sosial atau ekonomi|o;o
seemingly|tampaknya, kelihatannya|o
turmoil|kekacauan, pergolakan|o
bolster|menopang, memperkuat|v
influential|berpengaruh|o
prolong|memperpanjang|v
protester|pengunjuk rasa, demonstran|o
taxation|perpajakan|o
persist|berlanjut, bertahan; bersikeras, tetap berusaha meski sulit|v;v
upcoming|mendatang, yang akan datang|o
multinational|multinasional, beroperasi di beberapa negara|o
municipality|kotamadya, kota atau daerah berpemerintahan sendiri|o
uphold|menjunjung, mempertahankan|v
flexibility|fleksibilitas, keluwesan|o
loom|membayangi, mengancam, sudah di ambang|v
query|pertanyaan|o
empathy|empati|o
precede|mendahului|v
colonial|kolonial, berkaitan dengan penjajahan|o
revival|kebangkitan kembali|o
escalate|meningkat atau memanas dengan cepat|v
exporter|eksportir, negara atau perusahaan pengekspor|o
cognitive|kognitif, berkaitan dengan berpikir dan memahami|o
workforce|tenaga kerja, angkatan kerja|o
controversy|kontroversi, perselisihan publik|o
destabilize|mengganggu kestabilan|v
enlargement|perluasan, pembesaran|o
indigenous|pribumi, asli suatu tempat|o
transatlantic|transatlantik, melintasi atau berkaitan dengan kedua sisi Atlantik|o
accumulate|mengumpulkan, menumpuk|v
municipal|berkaitan dengan pemerintah kota|o
transparent|terbuka, jujur; tembus pandang, bening|o;o
equilibrium|keseimbangan, ekuilibrium|o
erupt|pecah, meledak tiba-tiba; meletus (gunung berapi)|v;v
simplify|menyederhanakan|v
popularity|popularitas, ketenaran|o
criterion|kriteria, tolok ukur|o
linguistic|linguistik, berkaitan dengan bahasa|o
affordable|terjangkau|o
reliance|ketergantungan|o
autonomy|otonomi, kemandirian|o
minimize|meminimalkan, mengurangi sekecil mungkin|v
openness|keterusterangan; keterbukaan terhadap gagasan baru|o;o
policymaking|pembuatan kebijakan|o
preference|kesukaan, preferensi; perlakuan istimewa|o;o
decrease|mengurangi, berkurang|v
prosperous|makmur, sejahtera|o
array|susunan, deretan, rangkaian luas|o
consolidate|memperkuat, memantapkan; menggabungkan|v;v
momentum|momentum, daya gerak; semangat, dorongan|o;o
devaluation|devaluasi, penurunan nilai mata uang|o
repression|represi, penindasan; penekanan perasaan|o;o
reside|tinggal, bertempat tinggal|v
adverse|merugikan, buruk|o
discrimination|diskriminasi, perlakuan tidak adil; kemampuan membedakan|o;o
informal|informal, tidak resmi, santai|o
outlook|prospek, perkiraan keadaan mendatang; pandangan, sikap|o;o
depreciation|depresiasi, penurunan nilai|o
utility|kegunaan; perusahaan penyedia air, listrik, atau gas|o;o
