# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
deficiency|deficiência, carência|o
repeal|revogar|v
undercut|vender mais barato que; enfraquecer, minar|v;v
activism|ativismo|o
autocratic|autocrático|o
fusion|fusão; fusão nuclear|o;o
imminent|iminente|o
storytelling|narração de histórias|o
aggressively|agressivamente|o
bacterial|bacteriano|o
disclosure|divulgação, revelação|o
domestically|internamente (no próprio país); em casa|o;o
supplement|suplemento, complemento; complementar|o;v
tributary|afluente|o
amplifier|amplificador|o
centrist|centrista|o
commandment|mandamento|o
cuisine|culinária, cozinha|o
decisively|de forma decisiva|o
duet|dueto|o
enshrine|consagrar (em lei ou constituição)|v
erect|erguer, construir; ereto|v;o
fragmentation|fragmentação|o
nationwide|nacional, em todo o país|o
newcomer|recém-chegado|o
promotional|promocional|o
refrain|abster-se; refrão|v;o
remittance|remessa (de dinheiro)|o
screening|exibição (de filme); triagem, exame preventivo|o;o
scripture|escrituras sagradas|o
genetically|geneticamente|o
subscribe|assinar (serviço); concordar com, aderir a (uma ideia)|v;v
anatomy|anatomia (estrutura do corpo); anatomia (ciência)|o;o
clause|cláusula; oração (gramática)|o;o
deforestation|desmatamento|o
depiction|representação, retrato|o
imagery|imagens, linguagem figurada|o
mire|lamaçal, pântano; atoleiro, situação difícil|o;o
navigation|navegação|o
petroleum|petróleo|o
reconnaissance|reconhecimento (militar)|o
arbitrary|arbitrário|o
exploitation|exploração (abusiva); exploração, aproveitamento (de recursos)|o;o
geography|geografia|o
halve|dividir ao meio, reduzir à metade|v
malnutrition|desnutrição|o
ballad|balada (canção); balada (poema narrativo)|o;o
boycott|boicote|o
cultivate|cultivar; cultivar, desenvolver (habilidade, relação)|v;v
degrade|degradar; humilhar|v;v
exponent|defensor, expoente; expoente (matemática)|o;o
independently|independentemente, por conta própria|o
insurgency|insurgência|o
intuitive|intuitivo, fácil de entender; intuitivo, instintivo|o;o
irrational|irracional|o
maturity|maturidade; vencimento (de empréstimo)|o;o
offshore|offshore, em alto-mar; offshore (no exterior, dinheiro)|o;o
personalize|personalizar|v
separatist|separatista|o
stereotype|estereótipo|o
advertisement|anúncio, propaganda|o
attain|alcançar, atingir|v
dissolution|dissolução (de organização ou casamento); dissolução|o;o
ecological|ecológico|o
inaugurate|inaugurar; empossar|v;v
inherent|inerente|o
meme|meme|o
migrate|migrar|v
northwestern|do noroeste|o
precision|precisão|o
profoundly|profundamente|o
pundit|comentarista, especialista (na mídia)|o
skeptic|cético|o
visualize|visualizar, imaginar; visualizar, representar em imagem|v;v
wane|diminuir, enfraquecer|v
weld|soldar|v
outweigh|superar, pesar mais que|v
peril|perigo|o
polarize|polarizar|v
configuration|configuração|o
deportation|deportação|o
empirical|empírico|o
listing|lista, item de lista|o
usher|conduzir, acompanhar; inaugurar (uma nova era)|v;v
benign|benigno, inofensivo; benigno (não canceroso)|o;o
bipartisan|bipartidário, suprapartidário|o
daunt|intimidar, desanimar|v
environmentally|ambientalmente|o
foresee|prever|v
geometry|geometria|o
mitigation|mitigação|o
paralysis|paralisia; paralisia, imobilismo|o;o
perpetrator|autor (de crime), perpetrador|o
processor|processador|o
summarize|resumir|v
traumatic|traumático|o
withstand|resistir a, suportar|v
accordance|conformidade (em in accordance with: de acordo com)|o
alleviate|aliviar, atenuar|v
articulate|articulado, eloquente; articular, expressar com clareza|o;v
bracket|parêntese, colchete; faixa (ex.: faixa de renda)|o;o
delegate|delegado; delegar|o;v
duration|duração|o
intersection|cruzamento; interseção|o;o
jointly|conjuntamente|o
plight|situação difícil, apuro|o
privatize|privatizar|v
template|modelo, molde|o
wary|cauteloso, desconfiado|o
amplify|amplificar|v
angular|anguloso; angular|o;o
catalogue|catálogo|o
consultation|consulta; consulta (discussão prévia a uma decisão)|o;o
counterproductive|contraproducente|o
detection|detecção|o
inventor|inventor|o
lecturer|professor universitário|o
normalization|normalização (volta ao normal); normalização, padronização|o;o
reluctance|relutância|o
reproductive|reprodutivo|o
rigid|rígido, duro; rígido, inflexível|o;o
specification|especificação|o
stagger|cambalear; deixar atônito, chocar; escalonar|v;v;v
subordinate|subordinado, inferior; subordinado|o;o
successive|sucessivo|o
vaccination|vacinação|o
aka|também conhecido como|o
ancestry|ascendência, antepassados|o
antiquity|Antiguidade; antiguidade (objeto antigo)|o;o
distinctive|característico, marcante|o
documentation|documentação, documentos; documentação, instruções|o;o
insider|pessoa de dentro, conhecedor interno|o
monarchy|monarquia|o
reshape|remodelar, reformular|v
astronomy|astronomia|o
byte|byte|o
commercially|comercialmente|o
midwife|parteira|o
abundant|abundante|o
analogy|analogia|o
coincide|coincidir (no tempo); coincidir, concordar|v;v
divergence|divergência|o
ninety|noventa|o
potent|potente, poderoso|o
purge|expurgar, purgar; expurgo|v;o
readily|de bom grado; facilmente|o;o
sampling|amostragem; seleção de amostras (para teste)|o;o
scarcity|escassez|o
skyscraper|arranha-céu|o
vibrant|vibrante, animado; vivo (cor)|o;o
abide|tolerar, suportar (can't abide); cumprir, obedecer (abide by)|v;v
assurance|garantia, promessa; confiança, segurança|o;o
disproportionate|desproporcional|o
interdependence|interdependência|o
technocrat|tecnocrata|o
collaborator|colaborador; colaboracionista|o;o
constituent|eleitor (de um distrito); componente, parte|o;o
deliberate|deliberado, intencional; deliberar, ponderar|o;v
indirect|indireto|o
planting|plantio|o
setback|revés, contratempo|o
unravel|desfazer, desembaraçar; desvendar; desmoronar, desintegrar-se|v;v;v
complacency|complacência, acomodação|o
differentiate|diferenciar, distinguir|v
enrichment|enriquecimento, melhoria; enriquecimento (aumento de valor ou concentração)|o;o
lobbying|lobby, lobismo|o
marketplace|mercado; mercado (mundo comercial)|o;o
perpetuate|perpetuar|v
pinyin|pinyin (sistema de escrita do chinês no alfabeto latino)|o
socioeconomic|socioeconômico|o
tracer|traçador, marcador; bala traçante|o;o
inflate|inflar, encher de ar; inflacionar (preços)|v;v
simplicity|simplicidade|o
surname|sobrenome|o
accolade|prêmio, elogio, honraria|o
directorial|de direção, do diretor (de cinema)|o
mega|mega, enorme|o
peripheral|periférico; secundário; periférico (de computador)|o;o;o
prestigious|prestigioso, conceituado|o
prosper|prosperar|v
schooling|escolaridade, educação|o
theatrically|teatralmente, de modo exagerado; nos cinemas|o;o
timeline|linha do tempo; cronograma|o;o
unsuccessful|malsucedido, fracassado|o
indie|independente (música, cinema, jogos)|o
meta|meta, autorreferente|o
microbial|microbiano|o
morally|moralmente|o
quadratic|quadrático|o
unintended|não intencional, acidental|o
entrepreneurial|empreendedor, empresarial|o
factorial|fatorial (5! = 120)|o
hemisphere|hemisfério (da Terra); hemisfério (cerebral)|o;o
indefinitely|indefinidamente|o
lunar|lunar|o
mandatory|obrigatório|o
memorandum|memorando, registro; memorando de entendimento, acordo formal|o;o
northeastern|do nordeste|o
prioritize|priorizar|v
regression|regressão, retrocesso; regressão (estatística)|o;o
todo|tarefa pendente (como em todo list)|o
understandably|compreensivelmente|o
blender|liquidificador|o
diversification|diversificação|o
invariably|invariavelmente, sempre|o
pornography|pornografia|o
professionally|profissionalmente (de modo profissional); profissionalmente (como ofício)|o;o
renowned|renomado, famoso|o
settler|colono, povoador|o
automate|automatizar|v
bondholder|detentor de títulos, obrigacionista|o
collaborative|colaborativo|o
cynical|cínico, descrente|o
decentralize|descentralizar|v
fluctuation|flutuação, oscilação|o
gaming|jogos eletrônicos; jogos de azar|o;o
incomplete|incompleto|o
militarily|militarmente|o
reinvent|reinventar|v
deterioration|deterioração|o
impeachment|impeachment|o
intermediate|intermediário|o
millimeter|milímetro|o
neuroscientist|neurocientista|o
optimize|otimizar|v
primate|primata|o
procurement|aquisição, compras (de suprimentos)|o
programmer|programador|o
provisional|provisório|o
rarity|raridade (qualidade); raridade (coisa rara)|o;o
ravage|devastar, destruir|v
synthesis|síntese, combinação; síntese (química)|o;o
texture|textura|o
transitional|de transição, transitório|o
underpinning|base, fundamento|o
bleak|sombrio, desolador; frio e árido|o;o
cache|esconderijo, depósito oculto; cache (memória)|o;o
centimeter|centímetro|o
circular|circular, redondo; circular, comunicado; circular (raciocínio)|o;o;o
confer|conferenciar, discutir; conferir, conceder (uma honra)|v;v
dopamine|dopamina|o
fragility|fragilidade|o
heuristic|heurística, regra prática|o
indifference|indiferença|o
loosely|frouxamente; vagamente, aproximadamente|o;o
parody|paródia|o
pivot|pivô, eixo; girar|o;v
seventy|setenta|o
tau|tau (décima nona letra do alfabeto grego)|o
clarity|clareza|o
contend|sustentar, alegar; competir, disputar|v;v
criticise|criticar|v
durable|durável, duradouro|o
mistrust|desconfiança|o
sweeping|abrangente, amplo|o
transcend|transcender|v
transpose|transpor, trocar de posição; transpor (de tom, música)|v;v
curriculum|currículo, programa de estudos|o
derail|atrapalhar, desviar; descarrilar|v;v
hopeful|esperançoso, otimista; candidato, aspirante|o;o
inherently|inerentemente, por natureza|o
occasional|ocasional|o
opioid|opioide|o
retaliation|retaliação, represália|o
signatory|signatário|o
specter|espectro, fantasma; espectro, ameaça|o;o
turnout|comparecimento, participação|o
unrealistic|irrealista|o
afflict|afligir|v
alphabet|alfabeto|o
dairy|laticínios; fazenda leiteira|o;o
electrode|eletrodo|o
hypotenuse|hipotenusa|o
imperfect|imperfeito; pretérito imperfeito|o;o
logistic|logístico|o
mapping|mapeamento, cartografia; mapeamento, correspondência (entre conjuntos)|o;o
paternal|paternal; paterno (do lado do pai)|o;o
pathogen|patógeno|o
propel|impulsionar, propelir|v
reaffirm|reafirmar|v
revolve|girar; girar em torno de, centrar-se em|v;v
strategically|estrategicamente|o
assertion|afirmação, alegação|o
competence|competência|o
dangerously|perigosamente|o
diaspora|diáspora|o
doubling|duplicação|o
fishery|pesqueiro, área de pesca; setor pesqueiro, pesca|o;o
generic|genérico, geral; genérico (sem marca)|o;o
gravitational|gravitacional|o
normalize|normalizar (voltar ao normal); normalizar, padronizar|v;v
pollen|pólen|o
prudent|prudente|o
redefine|redefinir|v
repressive|repressivo, opressor|o
concede|admitir, reconhecer; ceder, conceder|v;v
correspondence|correspondência, cartas; correspondência, semelhança|o;o
doctoral|de doutorado|o
forthcoming|próximo, iminente; disposto a informar, receptivo|o;o
immunization|imunização, vacinação|o
mobilization|mobilização|o
orthodoxy|ortodoxia|o
unavoidable|inevitável|o
accuracy|precisão, exatidão|o
comma|vírgula (,)|o
culminate|culminar|v
diagonal|diagonal|o
manga|mangá|o
planetary|planetário|o
systematically|sistematicamente|o
obituary|obituário|o
profitability|rentabilidade, lucratividade|o
recycling|reciclagem|o
redesign|redesenhar, reformular|v
reunification|reunificação|o
tangible|tangível, concreto; tangível, palpável|o;o
consequently|consequentemente, portanto|o
cumulative|cumulativo|o
entitlement|direito, benefício; sentimento de merecimento, soberba|o;o
finalist|finalista|o
inefficiency|ineficiência|o
nobility|nobreza, aristocracia; nobreza (de caráter)|o;o
respiratory|respiratório|o
takeover|aquisição, tomada de controle|o
glucose|glicose|o
indirectly|indiretamente|o
muddle|confusão, bagunça|o
par|nível normal ou esperado; on par with: equivalente a|o;n
quasi|quase, semi|o
technocratic|tecnocrático|o
wavelength|comprimento de onda; sintonia (on the same wavelength)|o;o
abbreviate|abreviar|v
attachment|apego, vínculo; anexo (de e-mail)|o;o
distributor|distribuidora|o
externality|externalidade|o
modeling|modelagem, simulação; trabalho de modelo|o;o
plantation|plantação, fazenda de monocultura|o
reconstruct|reconstruir; reconstituir (fatos)|v;v
akin|semelhante, parecido|o
compassionate|compassivo|o
connectivity|conectividade|o
devalue|desvalorizar|v
downgrade|rebaixar|v
empowerment|empoderamento|o
peacekeeping|manutenção da paz|o
prudential|prudencial|o
worldview|visão de mundo|o
apartheid|apartheid|o
buffer|proteção, amortecedor|o
ceasefire|cessar-fogo|o
determinant|fator determinante|o
divisive|polêmico, que divide opiniões|o
hinder|dificultar, atrapalhar|v
insistence|insistência|o
plaque|placa comemorativa; placa (bacteriana ou nas artérias)|o;o
soprano|voz mais aguda do canto|o
squander|desperdiçar|v
substitution|substituição|o
tefillin|filactérios, caixinhas de couro com textos sagrados usadas por judeus na oração|o
undertaking|tarefa, empreendimento|o
awe|admiração misturada com respeito ou temor|o
educator|educador, professor|o
encryption|criptografia, codificação de dados|o
envision|imaginar, visualizar|v
methane|metano, gás produzido por matéria em decomposição, gás de efeito estufa|o
posthumously|postumamente, após a morte|o
recreate|recriar|v
respondent|entrevistado (numa pesquisa); réu (em alguns processos)|o;o
accurately|com precisão, exatamente|o
assertive|assertivo, firme|o
deplete|esgotar, reduzir|v
fitness|condicionamento físico; aptidão|o;o
friction|atrito; conflito|o;o
grouping|agrupamento|o
intra|intra-, dentro de (como em intrapartidário)|o
randomly|aleatoriamente, ao acaso|o
reviewer|avaliador, resenhista|o
tout|promover, elogiar; revender ingressos ilegalmente (cambista)|v;v
width|largura|o
bio|biografia curta; biológico|o;o
catalyst|catalisador (de reação química); catalisador (de mudança)|o;o
cellular|celular (relativo a células); celular (telefone)|o;o
decouple|desvincular, desconectar|v
eligible|elegível, apto; bom partido (para casamento)|o;o
falter|fraquejar, hesitar|v
ideally|idealmente|o
illicit|ilícito, ilegal|o
innovate|inovar|v
obsolete|obsoleto, ultrapassado|o
preservation|preservação, conservação|o
undergraduate|estudante de graduação|o
unthinkable|impensável|o
ascend|subir, ascender|v
backdrop|pano de fundo, cenário|o
locally|localmente, na região|o
locus|centro, local; lugar geométrico (em geometria)|o;o
pollute|poluir, contaminar|v
subset|subconjunto|o
unresolved|não resolvido, pendente|o
biblical|bíblico|o
pluralism|pluralismo, convivência de grupos ou ideias diferentes|o
preside|presidir (uma reunião)|v
prohibition|proibição|o
prosthetic|prótese|o
reclaim|recuperar, reaver; recuperar terras (para uso)|v;v
refinance|refinanciar|v
tonne|tonelada (1.000 quilos)|o
verb|verbo|o
antibody|anticorpo|o
disband|dissolver (um grupo)|v
eradication|erradicação|o
folklore|folclore|o
fret|preocupar-se, afligir-se|v
hierarchy|hierarquia|o
induct|admitir formalmente (numa organização), empossar|v
perpendicular|perpendicular|o
remainder|resto, restante|o
statute|lei, estatuto|o
stigma|estigma|o
stockpile|estoque, reserva|o
unofficial|não oficial, extraoficial|o
valuation|avaliação, valoração|o
apparatus|aparelho, equipamento; aparato, sistema|o;o
approximation|aproximação, estimativa|o
enlarge|ampliar, aumentar|v
impediment|impedimento, obstáculo; defeito de fala|o;o
