# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
paste|soft moist mixture that sticks; to stick with glue|o;v
tonic|drink that gives strength; fizzy water with quinine|o;o
fireplace|opening in a wall where a fire is made|o
vicar|priest in charge of a parish (British)|o
skating|gliding on skates|o
stupidity|being stupid; foolish act|o;o
sneaky|acting secretly and slyly|o
dumpling|ball of dough boiled in a stew|o
frequent|happening often; to go to a place often|o;v
mixture|thing made by mixing; combination|o;o
rust|reddish coat that forms on wet iron|o
liberation|setting free|o
comeback|return to success; quick clever reply|o;o
freeway|wide fast road with no tolls (American)|o
nay|(old) no; and even more|o;o
latte|coffee made with much hot milk|o
onward|moving forward, ahead|o
swat|SWAT, armed police unit; to hit an insect with a flat blow|o;v
'that|(misprint of that) that|o
admirer|person who admires or is attracted to another|o
reindeer|deer with antlers living in the far north|o
attacker|person who attacks|o
incline|slope; to lean; to be likely to|o;v;v
shampoo|liquid soap for washing the hair|o
mammal|animal that feeds its young on milk|o
snail|small soft creature with a shell on its back|o
overhead|above your head; costs of running a business|o;o
successor|person who takes over from another|o
excess|more than is needed or allowed|o
sighting|seeing of something rare|o
booking|arrangement made to keep a seat or room|o
adrenaline|substance made in the body in fear or excitement|o
algorithm|set of steps a computer follows to solve a problem|o
manor|large country house with land|o
stressful|causing worry and strain|o
salty|tasting of salt|o
soy|sauce and beans of the soya plant|o
hover|to stay in the air in one place; to wait about near someone|v;v
stabilize|to make steady|v
rodeo|show of riding wild horses and roping cattle|o
typewriter|machine that prints letters as keys are struck|o
administer|to run an organisation; to give out medicine or justice|v;v
cardiac|to do with the heart|v
tavern|inn where drink is served|o
refine|to make pure; to improve by small changes|v;v
velvet|thick soft cloth with a raised surface|o
warfare|carrying on of war|o
sterling|British money; of standard purity; of fine quality|o;o;o
gran|grandmother (British informal)|o
juror|member of a jury|o
multiply|to increase greatly; to find the product of numbers|v;v
slum|poor crowded part of a city|o
bravery|being brave|o
diversion|turning aside; thing that draws attention away; amusement|o;o;o
revenue|money coming in to a state or business|o
inflict|to make someone suffer something|v
lash|to strike with a whip; to tie tightly|v;v
heave|to lift or pull with great effort|v
morality|principles of right and wrong|o
pd|PD, police department|o
coupon|printed slip giving a right to a discount|o
smoothly|evenly, with no trouble|o
cradle|baby's bed that rocks; place where something began|o;o
wh-what|(stammered) what|o
psychotic|out of touch with reality through mental illness|o
withhold|to keep back, to refuse to give|v
aggression|readiness to attack; violent action against another|o;o
bumper|bar at the front and back of a car; unusually large|o;o
steroid|drug that builds muscle or damps down swelling|o
tuition|teaching; fees paid for it (American)|o;o
eclipse|blocking of the sun or moon; to outshine|o;v
jap|(offensive slur for a Japanese person)|g
explorer|person who travels to find out what is there|o
increasingly|more and more|o
shady|giving shade; seeming dishonest|o;o
printer|machine that prints; person whose trade is printing|o;o
sod|(vulgar, British) awkward person or thing; piece of turf|o;o
gunman|man armed with a gun|o
scenery|natural features of a landscape; painted background on a stage|o;o
trek|long hard journey on foot|o
initially|at first|o
hive|box or nest where bees live|o
shredder|machine that cuts paper into strips|o
vary|to differ; to change from time to time|v;v
alligator|large reptile with a broad snout, like a crocodile|o
crater|hollow at the mouth of a volcano or made by a blast|o
getaway|escape after a crime|o
leash|strap for holding a dog|o
liability|being answerable in law; person or thing that is a burden|o;o
livin|living (informal spelling)|o
temp|worker taken on for a short time|o
'oh|(misprint of oh) oh|o
slogan|short phrase used in advertising or protest|o
undermine|to weaken little by little|v
measurement|size found by measuring; act of measuring|o;o
override|to set aside another's decision; to take manual control|v;v
contagious|passing easily from one person to another|o
frequently|often|o
operational|working and ready for use; to do with operations|o;v
basil|sweet-smelling herb used in cooking|o
deport|to send a foreigner out of the country|v
'to|(misprint of to) to|o
buffet|meal where guests serve themselves; to strike again and again|o;v
cocoa|brown powder from cacao beans; hot drink made from it|o;o
destroyer|fast warship; person or thing that destroys|o;o
frenchman|man from France|o
pending|not yet decided; until|o;o
slurp|(loud sucking sound of drinking)|g
nervously|in an anxious uneasy way|o
sprout|to begin to grow; young shoot|v;o
capability|power or ability to do something|o
ongoing|still going on|o
loo|toilet (British informal)|o
membership|being a member; all the members|o;o
listener|person who listens|o
tangle|twisted mass hard to undo; to twist together|o;v
chalk|soft white rock; stick of it for writing|o;o
liable|answerable in law; likely to|o;o
squid|sea animal with ten arms|o
rook|large black bird of the crow family; chess piece shaped like a castle|o;o
ramp|slope joining two levels|o
hoof|hard foot of a horse or cow|o
unaware|not knowing about something|o
wither|to dry up and fade|v
bagel|ring-shaped bread roll|o
hoop|large ring of wood or metal|o
padre|(Spanish) father; chaplain to the forces|o;o
break-in|entering a building by force to steal|o
sparrow|small brown bird common in towns|o
elevate|to raise up; to raise in rank|v;v
blueprint|detailed plan for making something|o
pow|(sound of a hard blow or shot)|g
revolver|pistol with a turning chamber for bullets|o
stump|part of a tree left when it is cut down; to puzzle completely|o;v
certainty|being sure; thing that is bound to happen|o;o
slate|grey rock that splits into thin sheets; to criticise harshly|o;v
grumble|to complain in a low voice|v
sinister|suggesting evil or harm to come|o
dryer|machine that dries clothes or hair|o
mailbox|box for letters|o
amusement|being amused; thing that entertains|o;o
consumer|person who buys and uses goods|o
epidemic|outbreak of disease that spreads fast|o
generosity|readiness to give|o
quarry|place where stone is dug out; animal being hunted|o;o
assess|to judge the value or quality of|v
beta|second letter of the Greek alphabet; test version of a program|o;o
appal|to shock deeply|v
evidently|clearly, as can be seen|o
gamma|third letter of the Greek alphabet; strong ray given off by radioactive matter|o;o
militia|body of citizens trained as soldiers|o
sphere|ball-shaped body; area of activity|o;o
tyrant|cruel ruler with all the power|o
evacuation|moving of people out of danger|o
rooftop|top of a building|o
incompetent|not able to do the job properly|o
descent|going down; family a person comes from|o;o
dreamer|person whose plans are not practical|o
excessive|far too much|o
fuzzy|covered with soft fluff; not clear|o;o
wildlife|wild animals and plants|o
homecoming|returning home|o
swelling|part of the body grown larger through injury|o
knob|round handle; small rounded lump|o;o
crumb|tiny piece of bread or cake|o
grin|to smile broadly|v
masturbate|to give yourself sexual pleasure by hand|v
christianity|religion based on the teaching of Christ|o
breakup|end of a relationship; breaking into pieces|o;o
peso|unit of money in Mexico and other countries|o
depot|store for goods; garage for buses|o;o
deception|making someone believe what is untrue|o
sizzle|(hissing sound of frying)|g
holder|person who holds a title or post; thing that holds something|o;o
margin|blank edge of a page; amount to spare; profit made|o;o;o
ex-boyfriend|man a person went out with before|o
reflex|movement the body makes without thinking|o
yer|your (informal spelling)|o
significance|importance; meaning behind something|o;o
soothe|to calm; to ease pain|v;v
voodoo|religion of spirits and magic from West Africa and Haiti|o
asthma|illness that makes breathing hard|o
physicist|scientist who studies matter and energy|o
cutie|pretty or charming person (informal)|o
jab|to poke sharply; short straight punch|v;o
radioactive|giving off harmful rays as atoms break down|o
avatar|figure standing for a person online; god in bodily form|o;o
minority|smaller number, less than half; group differing from most|o;o
orchid|plant with showy flowers of unusual shape|o
unreasonable|not fair or sensible; asking too much|o;o
wimp|weak person with no courage|o
siege|surrounding of a place to force it to give in|o
illegally|against the law|o
intuition|knowing something without working it out|o
virtual|almost the thing named; made by computer|o;o
discourage|to take away someone's confidence; to try to stop|v;v
manly|having the qualities thought fitting in a man|o
pneumonia|serious illness of the lungs|o
touchdown|score in American football; landing of an aircraft|o;o
twenty-five|25|o
badass|(informal) tough and impressive person; formidable|o;o
mutt|dog of no particular breed|o
venue|place where an event is held|o
hunk|thick piece; strong good-looking man (informal)|o;o
substantial|large enough to matter; solidly built|o;o
turd|(vulgar) lump of excrement; contemptible person|o;o
unicorn|horse with one horn in old stories|o
amigo|(Spanish) friend|o
courtyard|open space enclosed by buildings|o
onboard|on a ship, plane or team|o
spontaneous|done on the spur of the moment; happening by itself|o;o
wrench|to pull sharply and twist; tool for gripping nuts|v;o
textbook|book used for study; exactly as it should be|o;o
antenna|aerial for radio waves; feeler on an insect's head|o;o
bonjour|(French) good day, hello|o
dodger|person who avoids what they should do|o
insecure|not sure of yourself; not safe|o;o
sympathetic|showing feeling for another's trouble; well disposed|o;o
cluck|(short low sound of a hen)|g
unidentified|not named or known|o
burp|(sound of wind brought up from the stomach)|g
crude|rough and not finished; coarse; in its natural state|o;o;o
